Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,2660.000000,2670.000000,2580.000000,2610.000000,2500.261230,6309800
2023-01-17,2620.000000,2650.000000,2600.000000,2620.000000,2509.840820,5333600
2023-01-18,2670.000000,2670.000000,2600.000000,2620.000000,2509.840820,7000400
2023-01-19,2620.000000,2640.000000,2570.000000,2570.000000,2461.943115,5297100
2023-01-20,2580.000000,2590.000000,2540.000000,2570.000000,2461.943115,6213600
2023-01-24,2570.000000,2610.000000,2570.000000,2610.000000,2500.261230,2285600
2023-01-25,2630.000000,2630.000000,2580.000000,2610.000000,2500.261230,2579900
2023-01-26,2610.000000,2640.000000,2600.000000,2620.000000,2509.840820,4464300
2023-01-27,2630.000000,2710.000000,2630.000000,2670.000000,2557.738525,6267800
2023-01-30,2680.000000,2720.000000,2570.000000,2590.000000,2481.102295,9546700
2023-01-31,2590.000000,2620.000000,2560.000000,2560.000000,2452.363525,4174500
2023-02-01,2590.000000,2650.000000,2560.000000,2640.000000,2529.000000,10590300
2023-02-02,2650.000000,2660.000000,2610.000000,2620.000000,2509.840820,3179300
2023-02-03,2620.000000,2660.000000,2610.000000,2630.000000,2519.420410,9657000
2023-02-06,2630.000000,2650.000000,2560.000000,2580.000000,2471.522705,6890400
2023-02-07,2580.000000,2610.000000,2560.000000,2580.000000,2471.522705,9990200
2023-02-08,2610.000000,2610.000000,2560.000000,2580.000000,2471.522705,7166700
2023-02-09,2590.000000,2610.000000,2580.000000,2590.000000,2481.102295,4814600
2023-02-10,2600.000000,2660.000000,2560.000000,2580.000000,2471.522705,14572300
2023-02-13,2580.000000,2630.000000,2510.000000,2540.000000,2433.204590,16542100
2023-02-14,2550.000000,2560.000000,2480.000000,2490.000000,2385.306885,17415800
2023-02-15,2540.000000,2540.000000,2400.000000,2430.000000,2327.829590,22802900
2023-02-16,2430.000000,2450.000000,2350.000000,2390.000000,2289.511230,27923600
2023-02-17,2400.000000,2420.000000,2360.000000,2420.000000,2318.250000,15944800
2023-02-20,2440.000000,2440.000000,2370.000000,2400.000000,2299.090820,24043300
2023-02-21,2420.000000,2540.000000,2370.000000,2390.000000,2289.511230,45044300
2023-02-22,2440.000000,2440.000000,2350.000000,2360.000000,2260.772705,25388100
2023-02-23,2370.000000,2410.000000,2370.000000,2390.000000,2289.511230,11844300
2023-02-24,2390.000000,2420.000000,2380.000000,2400.000000,2299.090820,11997700
2023-02-27,2400.000000,2430.000000,2380.000000,2380.000000,2279.931885,8577400
2023-02-28,2390.000000,2400.000000,2290.000000,2340.000000,2241.613525,27274100
2023-03-01,2370.000000,2390.000000,2300.000000,2310.000000,2212.875000,15368800
2023-03-02,2330.000000,2340.000000,2300.000000,2310.000000,2212.875000,7433200
2023-03-03,2310.000000,2340.000000,2280.000000,2290.000000,2193.715820,9764800
2023-03-06,2340.000000,2340.000000,2280.000000,2290.000000,2193.715820,8164800
2023-03-07,2290.000000,2310.000000,2260.000000,2290.000000,2193.715820,13908500
2023-03-08,2300.000000,2300.000000,2240.000000,2280.000000,2184.136230,13653700
2023-03-09,2340.000000,2340.000000,2250.000000,2250.000000,2155.397705,9680500
2023-03-10,2250.000000,2250.000000,2200.000000,2220.000000,2126.658936,14973700
2023-03-13,2150.000000,2200.000000,2130.000000,2150.000000,2059.602295,21932400
2023-03-14,2170.000000,2170.000000,2080.000000,2120.000000,2030.863647,18543800
2023-03-15,2160.000000,2170.000000,2090.000000,2100.000000,2011.704468,6972600
2023-03-16,2100.000000,2120.000000,2000.000000,2090.000000,2002.125000,10625200
2023-03-17,2130.000000,2190.000000,2080.000000,2080.000000,1992.545410,15270400
2023-03-20,2100.000000,2150.000000,2070.000000,2070.000000,1982.965820,6985100
2023-03-21,2070.000000,2140.000000,2070.000000,2120.000000,2030.863647,7661100
2023-03-24,2170.000000,2170.000000,2110.000000,2120.000000,2030.863647,7559700
2023-03-27,2120.000000,2160.000000,2120.000000,2160.000000,2069.181885,8698900
2023-03-28,2180.000000,2210.000000,2140.000000,2140.000000,2050.022705,12377700
2023-03-29,2180.000000,2190.000000,2150.000000,2160.000000,2069.181885,5806200
2023-03-30,2170.000000,2190.000000,2140.000000,2160.000000,2069.181885,5166300
2023-03-31,2120.000000,2200.000000,2120.000000,2190.000000,2097.920410,7440900
2023-04-03,2200.000000,2230.000000,2170.000000,2180.000000,2088.340820,4699900
2023-04-04,2180.000000,2200.000000,2130.000000,2170.000000,2078.761230,7571700
2023-04-05,2200.000000,2200.000000,2090.000000,2090.000000,2002.125000,16181700
2023-04-06,2120.000000,2170.000000,2090.000000,2140.000000,2050.022705,8393100
2023-04-10,2140.000000,2210.000000,2140.000000,2210.000000,2117.079590,14273900
2023-04-11,2210.000000,2230.000000,2180.000000,2200.000000,2107.500000,6707500
2023-04-12,2220.000000,2240.000000,2190.000000,2200.000000,2107.500000,7487500
2023-04-13,2200.000000,2330.000000,2200.000000,2270.000000,2174.556885,24102100
2023-04-14,2270.000000,2340.000000,2270.000000,2320.000000,2222.454590,9189300
2023-04-17,2340.000000,2340.000000,2210.000000,2240.000000,2145.818115,14538800
2023-04-18,2240.000000,2300.000000,2220.000000,2260.000000,2164.977295,10822900
2023-04-26,2260.000000,2310.000000,2220.000000,2250.000000,2155.397705,13610100
2023-04-27,2220.000000,2270.000000,2190.000000,2200.000000,2107.500000,20738500
2023-04-28,2160.000000,2170.000000,2110.000000,2140.000000,2140.000000,12782300
2023-05-02,2160.000000,2160.000000,1995.000000,1995.000000,1995.000000,57553900
2023-05-03,1970.000000,1970.000000,1885.000000,1900.000000,1900.000000,41679700
2023-05-04,1905.000000,2020.000000,1905.000000,1995.000000,1995.000000,16004300
2023-05-05,1990.000000,2040.000000,1990.000000,2000.000000,2000.000000,13372700
2023-05-08,2020.000000,2080.000000,1990.000000,2060.000000,2060.000000,10219100
2023-05-09,2090.000000,2140.000000,2030.000000,2130.000000,2130.000000,14736100
2023-05-10,2150.000000,2150.000000,2000.000000,2010.000000,2010.000000,27541500
2023-05-11,2040.000000,2040.000000,1990.000000,2000.000000,2000.000000,10044400
2023-05-12,2000.000000,2050.000000,2000.000000,2040.000000,2040.000000,9900600
2023-05-15,2050.000000,2070.000000,2010.000000,2040.000000,2040.000000,9724900
2023-05-16,2040.000000,2060.000000,2010.000000,2020.000000,2020.000000,5247400
2023-05-17,2070.000000,2070.000000,2000.000000,2000.000000,2000.000000,5957100
2023-05-19,2010.000000,2080.000000,1995.000000,2040.000000,2040.000000,11541800
2023-05-22,2040.000000,2110.000000,2040.000000,2070.000000,2070.000000,9576500
2023-05-23,2090.000000,2120.000000,2070.000000,2070.000000,2070.000000,8979400
2023-05-24,2070.000000,2080.000000,2020.000000,2020.000000,2020.000000,11796100
2023-05-25,2020.000000,2050.000000,2020.000000,2030.000000,2030.000000,7833300
2023-05-26,2030.000000,2040.000000,1960.000000,1960.000000,1960.000000,16093000
2023-05-29,1970.000000,2000.000000,1960.000000,1970.000000,1970.000000,9206800
2023-05-30,1980.000000,2010.000000,1960.000000,1985.000000,1985.000000,6818800
